                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9450  24.8140  0.24566E+01  0.25691E+01  0.88758E-04  0.25528E+01  0.24915E+01  0.88969E-04  0.24740E+01
   10.5890   2.9450  24.8240  0.24495E+01  0.25613E+01  0.87901E-04  0.25451E+01  0.24839E+01  0.88110E-04  0.24664E+01
   10.5890   2.9450  24.8340  0.24424E+01  0.25536E+01  0.87051E-04  0.25374E+01  0.24763E+01  0.87258E-04  0.24589E+01
   10.5890   2.9450  24.8440  0.24353E+01  0.25458E+01  0.86210E-04  0.25298E+01  0.24687E+01  0.86414E-04  0.24515E+01
   10.5890   2.9450  24.8540  0.24282E+01  0.25381E+01  0.85375E-04  0.25222E+01  0.24612E+01  0.85577E-04  0.24440E+01
   10.5890   2.9450  24.8640  0.24212E+01  0.25301E+01  0.84549E-04  0.25142E+01  0.24534E+01  0.84748E-04  0.24362E+01
   10.5890   2.9450  24.8740  0.24142E+01  0.25225E+01  0.83730E-04  0.25066E+01  0.24458E+01  0.83927E-04  0.24288E+01
   10.5890   2.9450  24.8840  0.24071E+01  0.25148E+01  0.82918E-04  0.24991E+01  0.24384E+01  0.83113E-04  0.24214E+01
   10.5890   2.9450  24.8940  0.24001E+01  0.25072E+01  0.82114E-04  0.24915E+01  0.24309E+01  0.82306E-04  0.24140E+01
   10.5890   2.9450  24.9040  0.23932E+01  0.24997E+01  0.81317E-04  0.24840E+01  0.24235E+01  0.81507E-04  0.24067E+01
   10.5890   2.9450  24.9140  0.23862E+01  0.24925E+01  0.80527E-04  0.24769E+01  0.24165E+01  0.80715E-04  0.23997E+01
   10.5890   2.9450  24.9240  0.23792E+01  0.24849E+01  0.79744E-04  0.24694E+01  0.24091E+01  0.79930E-04  0.23924E+01
   10.5890   2.9450  24.9340  0.23723E+01  0.24774E+01  0.78969E-04  0.24620E+01  0.24018E+01  0.79152E-04  0.23852E+01
   10.5890   2.9450  24.9440  0.23654E+01  0.24699E+01  0.78200E-04  0.24546E+01  0.23944E+01  0.78381E-04  0.23779E+01
   10.5890   2.9450  24.9540  0.23585E+01  0.24624E+01  0.77438E-04  0.24472E+01  0.23870E+01  0.77617E-04  0.23705E+01
   10.5890   2.9450  24.9640  0.23516E+01  0.24548E+01  0.76683E-04  0.24396E+01  0.23796E+01  0.76860E-04  0.23632E+01
   10.5890   2.9450  24.9740  0.23448E+01  0.24473E+01  0.75936E-04  0.24322E+01  0.23723E+01  0.76111E-04  0.23560E+01
   10.5890   2.9450  24.9840  0.23379E+01  0.24399E+01  0.75195E-04  0.24248E+01  0.23650E+01  0.75368E-04  0.23488E+01
   10.5890   2.9450  24.9940  0.23311E+01  0.24324E+01  0.74461E-04  0.24174E+01  0.23578E+01  0.74632E-04  0.23416E+01
   10.5890   2.9450  25.0040  0.23243E+01  0.24247E+01  0.73733E-04  0.24098E+01  0.23502E+01  0.73902E-04  0.23341E+01
   10.5890   2.9450  25.0140  0.23175E+01  0.24174E+01  0.73013E-04  0.24025E+01  0.23430E+01  0.73179E-04  0.23270E+01
   10.5890   2.9450  25.0240  0.23107E+01  0.24100E+01  0.72298E-04  0.23952E+01  0.23358E+01  0.72463E-04  0.23199E+01
   10.5890   2.9450  25.0340  0.23040E+01  0.24026E+01  0.71590E-04  0.23879E+01  0.23286E+01  0.71753E-04  0.23127E+01
   10.5890   2.9450  25.0440  0.22972E+01  0.23952E+01  0.70889E-04  0.23806E+01  0.23214E+01  0.71050E-04  0.23056E+01
   10.5890   2.9450  25.0540  0.22905E+01  0.23879E+01  0.70194E-04  0.23733E+01  0.23142E+01  0.70353E-04  0.22985E+01
   10.5890   2.9450  25.0640  0.22838E+01  0.23806E+01  0.69506E-04  0.23661E+01  0.23071E+01  0.69663E-04  0.22914E+01
   10.5890   2.9450  25.0740  0.22771E+01  0.23733E+01  0.68824E-04  0.23589E+01  0.22998E+01  0.68979E-04  0.22843E+01
   10.5890   2.9450  25.0840  0.22704E+01  0.23660E+01  0.68148E-04  0.23516E+01  0.22928E+01  0.68301E-04  0.22772E+01
   10.5890   2.9450  25.0940  0.22638E+01  0.23588E+01  0.67478E-04  0.23445E+01  0.22857E+01  0.67629E-04  0.22702E+01
   10.5890   2.9450  25.1040  0.22571E+01  0.23516E+01  0.66814E-04  0.23373E+01  0.22786E+01  0.66964E-04  0.22632E+01
   10.5890   2.9450  25.1140  0.22505E+01  0.23444E+01  0.66157E-04  0.23302E+01  0.22716E+01  0.66304E-04  0.22563E+01
   10.5890   2.9450  25.1240  0.22439E+01  0.23372E+01  0.65505E-04  0.23231E+01  0.22646E+01  0.65651E-04  0.22493E+01
   10.5890   2.9450  25.1340  0.22373E+01  0.23301E+01  0.64860E-04  0.23160E+01  0.22576E+01  0.65004E-04  0.22424E+01
   10.5890   2.9450  25.1440  0.22308E+01  0.23229E+01  0.64220E-04  0.23089E+01  0.22506E+01  0.64363E-04  0.22355E+01
   10.5890   2.9450  25.1540  0.22242E+01  0.23158E+01  0.63587E-04  0.23018E+01  0.22436E+01  0.63727E-04  0.22286E+01
   10.5890   2.9450  25.1640  0.22177E+01  0.23087E+01  0.62958E-04  0.22948E+01  0.22367E+01  0.63097E-04  0.22217E+01
   10.5890   2.9450  25.1740  0.22112E+01  0.23016E+01  0.62337E-04  0.22878E+01  0.22298E+01  0.62475E-04  0.22149E+01
   10.5890   2.9450  25.1840  0.22046E+01  0.22945E+01  0.61721E-04  0.22808E+01  0.22228E+01  0.61856E-04  0.22080E+01
   10.5890   2.9450  25.1940  0.21982E+01  0.22875E+01  0.61110E-04  0.22738E+01  0.22160E+01  0.61244E-04  0.22012E+01
   10.5890   2.9450  25.2040  0.21917E+01  0.22805E+01  0.60505E-04  0.22669E+01  0.22091E+01  0.60638E-04  0.21944E+01
   10.5890   2.9450  25.2140  0.21852E+01  0.22734E+01  0.59906E-04  0.22598E+01  0.22022E+01  0.60037E-04  0.21876E+01
   10.5890   2.9450  25.2240  0.21788E+01  0.22665E+01  0.59313E-04  0.22529E+01  0.21954E+01  0.59442E-04  0.21808E+01
   10.5890   2.9450  25.2340  0.21724E+01  0.22595E+01  0.58724E-04  0.22460E+01  0.21886E+01  0.58852E-04  0.21741E+01
   10.5890   2.9450  25.2440  0.21660E+01  0.22526E+01  0.58142E-04  0.22392E+01  0.21818E+01  0.58268E-04  0.21673E+01
   10.5890   2.9450  25.2540  0.21596E+01  0.22457E+01  0.57564E-04  0.22323E+01  0.21750E+01  0.57689E-04  0.21607E+01
   10.5890   2.9450  25.2640  0.21532E+01  0.22388E+01  0.56992E-04  0.22255E+01  0.21683E+01  0.57115E-04  0.21540E+01
   10.5890   2.9450  25.2740  0.21469E+01  0.22319E+01  0.56426E-04  0.22187E+01  0.21616E+01  0.56547E-04  0.21473E+01
   10.5890   2.9450  25.2840  0.21405E+01  0.22250E+01  0.55864E-04  0.22119E+01  0.21549E+01  0.55984E-04  0.21407E+01
