***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   3.1200  21.0000   0.3131   4.3887  0.46747E+01  0.46747E+01  0.58495E-04  0.46747E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.1300  21.0000   0.3145   4.4028  0.46522E+01  0.46521E+01  0.58565E-04  0.46522E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.1400  21.0000   0.3160   4.4168  0.46296E+01  0.46295E+01  0.58639E-04  0.46296E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.1500  21.0000   0.3174   4.4309  0.46071E+01  0.46070E+01  0.58716E-04  0.46071E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.1600  21.0000   0.3188   4.4450  0.45846E+01  0.45845E+01  0.58798E-04  0.45846E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.1700  21.0000   0.3203   4.4590  0.45621E+01  0.45620E+01  0.58883E-04  0.45621E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.1800  21.0000   0.3217   4.4731  0.45396E+01  0.45396E+01  0.58972E-04  0.45396E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.1900  21.0000   0.3232   4.4872  0.45172E+01  0.45171E+01  0.59065E-04  0.45172E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.2000  21.0000   0.3246   4.5012  0.44948E+01  0.44948E+01  0.59161E-04  0.44948E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.2100  21.0000   0.3261   4.5153  0.44725E+01  0.44724E+01  0.59261E-04  0.44725E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.2200  21.0000   0.3275   4.5294  0.44501E+01  0.44501E+01  0.59365E-04  0.44501E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.2300  21.0000   0.3290   4.5434  0.44279E+01  0.44278E+01  0.59473E-04  0.44279E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.2400  21.0000   0.3305   4.5575  0.44057E+01  0.44056E+01  0.59585E-04  0.44057E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.2500  21.0000   0.3319   4.5716  0.43835E+01  0.43834E+01  0.59701E-04  0.43835E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.2600  21.0000   0.3334   4.5856  0.43614E+01  0.43613E+01  0.59820E-04  0.43614E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.2700  21.0000   0.3349   4.5997  0.43393E+01  0.43393E+01  0.59944E-04  0.43393E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.2800  21.0000   0.3364   4.6138  0.43173E+01  0.43173E+01  0.60071E-04  0.43173E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.2900  21.0000   0.3379   4.6278  0.42954E+01  0.42954E+01  0.60203E-04  0.42954E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.3000  21.0000   0.3394   4.6419  0.42736E+01  0.42735E+01  0.60338E-04  0.42736E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.3100  21.0000   0.3409   4.6560  0.42518E+01  0.42517E+01  0.60478E-04  0.42518E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.3200  21.0000   0.3424   4.6700  0.42301E+01  0.42300E+01  0.60621E-04  0.42301E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.3300  21.0000   0.3439   4.6841  0.42084E+01  0.42084E+01  0.60769E-04  0.42084E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.3400  21.0000   0.3454   4.6982  0.41869E+01  0.41868E+01  0.60920E-04  0.41869E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.3500  21.0000   0.3469   4.7122  0.41653E+01  0.41653E+01  0.61076E-04  0.41653E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.3600  21.0000   0.3484   4.7263  0.41439E+01  0.41438E+01  0.61236E-04  0.41439E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.3700  21.0000   0.3499   4.7404  0.41224E+01  0.41224E+01  0.61400E-04  0.41224E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.3800  21.0000   0.3514   4.7544  0.41011E+01  0.41010E+01  0.61569E-04  0.41011E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.3900  21.0000   0.3530   4.7685  0.40798E+01  0.40797E+01  0.61742E-04  0.40798E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.4000  21.0000   0.3545   4.7826  0.40586E+01  0.40585E+01  0.61919E-04  0.40586E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.4100  21.0000   0.3560   4.7966  0.40373E+01  0.40373E+01  0.62100E-04  0.40373E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.4200  21.0000   0.3576   4.8107  0.40161E+01  0.40161E+01  0.62286E-04  0.40161E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.4300  21.0000   0.3591   4.8248  0.39950E+01  0.39949E+01  0.62476E-04  0.39950E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.4400  21.0000   0.3607   4.8388  0.39739E+01  0.39738E+01  0.62671E-04  0.39739E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.4500  21.0000   0.3622   4.8529  0.39528E+01  0.39527E+01  0.62870E-04  0.39528E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.4600  21.0000   0.3638   4.8670  0.39317E+01  0.39316E+01  0.63073E-04  0.39317E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.4700  21.0000   0.3654   4.8810  0.39107E+01  0.39106E+01  0.63282E-04  0.39107E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.4800  21.0000   0.3669   4.8951  0.38896E+01  0.38895E+01  0.63495E-04  0.38896E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.4900  21.0000   0.3685   4.9092  0.38685E+01  0.38685E+01  0.63712E-04  0.38685E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.5000  21.0000   0.3701   4.9232  0.38475E+01  0.38474E+01  0.63935E-04  0.38475E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.5100  21.0000   0.3717   4.9373  0.38264E+01  0.38264E+01  0.64162E-04  0.38264E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.5200  21.0000   0.3733   4.9514  0.38054E+01  0.38053E+01  0.64393E-04  0.38054E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.5300  21.0000   0.3748   4.9654  0.37843E+01  0.37842E+01  0.64630E-04  0.37843E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.5400  21.0000   0.3764   4.9795  0.37631E+01  0.37630E+01  0.64872E-04  0.37631E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.5500  21.0000   0.3780   4.9935  0.37419E+01  0.37419E+01  0.65118E-04  0.37419E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.5600  21.0000   0.3796   5.0076  0.37207E+01  0.37206E+01  0.65370E-04  0.37207E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.5700  21.0000   0.3813   5.0217  0.36994E+01  0.36993E+01  0.65627E-04  0.36994E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.5800  21.0000   0.3829   5.0357  0.36780E+01  0.36779E+01  0.65889E-04  0.36780E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.5900  21.0000   0.3845   5.0498  0.36566E+01  0.36565E+01  0.66156E-04  0.36566E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.6000  21.0000   0.3861   5.0639  0.36351E+01  0.36350E+01  0.66428E-04  0.36351E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.6100  21.0000   0.3877   5.0779  0.36136E+01  0.36135E+01  0.66706E-04  0.36136E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.6200  21.0000   0.3894   5.0920  0.35919E+01  0.35919E+01  0.66989E-04  0.35919E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.6300  21.0000   0.3910   5.1061  0.35702E+01  0.35702E+01  0.67277E-04  0.35702E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.6400  21.0000   0.3926   5.1201  0.35485E+01  0.35484E+01  0.67571E-04  0.35485E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.6500  21.0000   0.3943   5.1342  0.35266E+01  0.35265E+01  0.67871E-04  0.35266E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.6600  21.0000   0.3959   5.1483  0.35046E+01  0.35045E+01  0.68176E-04  0.35046E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
