                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   3.2200  21.0000  0.44501E+01  0.44501E+01  0.00000E+00  0.00000E+00  0.44501E+01  0.00000E+00  0.00000E+00
   10.5890   3.2300  21.0000  0.44279E+01  0.44279E+01  0.00000E+00  0.00000E+00  0.44279E+01  0.00000E+00  0.00000E+00
   10.5890   3.2400  21.0000  0.44057E+01  0.44057E+01  0.00000E+00  0.00000E+00  0.44057E+01  0.00000E+00  0.00000E+00
   10.5890   3.2500  21.0000  0.43835E+01  0.43835E+01  0.00000E+00  0.00000E+00  0.43835E+01  0.00000E+00  0.00000E+00
   10.5890   3.2600  21.0000  0.43614E+01  0.43614E+01  0.00000E+00  0.00000E+00  0.43614E+01  0.00000E+00  0.00000E+00
   10.5890   3.2700  21.0000  0.43393E+01  0.43393E+01  0.00000E+00  0.00000E+00  0.43393E+01  0.00000E+00  0.00000E+00
   10.5890   3.2800  21.0000  0.43173E+01  0.43173E+01  0.00000E+00  0.00000E+00  0.43173E+01  0.00000E+00  0.00000E+00
   10.5890   3.2900  21.0000  0.42954E+01  0.42954E+01  0.00000E+00  0.00000E+00  0.42954E+01  0.00000E+00  0.00000E+00
   10.5890   3.3000  21.0000  0.42736E+01  0.42736E+01  0.00000E+00  0.00000E+00  0.42736E+01  0.00000E+00  0.00000E+00
   10.5890   3.3100  21.0000  0.42518E+01  0.42518E+01  0.00000E+00  0.00000E+00  0.42518E+01  0.00000E+00  0.00000E+00
   10.5890   3.3200  21.0000  0.42301E+01  0.42301E+01  0.00000E+00  0.00000E+00  0.42301E+01  0.00000E+00  0.00000E+00
   10.5890   3.3300  21.0000  0.42084E+01  0.42084E+01  0.00000E+00  0.00000E+00  0.42084E+01  0.00000E+00  0.00000E+00
   10.5890   3.3400  21.0000  0.41869E+01  0.41869E+01  0.00000E+00  0.00000E+00  0.41869E+01  0.00000E+00  0.00000E+00
   10.5890   3.3500  21.0000  0.41653E+01  0.41653E+01  0.00000E+00  0.00000E+00  0.41653E+01  0.00000E+00  0.00000E+00
   10.5890   3.3600  21.0000  0.41439E+01  0.41439E+01  0.00000E+00  0.00000E+00  0.41439E+01  0.00000E+00  0.00000E+00
   10.5890   3.3700  21.0000  0.41224E+01  0.41224E+01  0.00000E+00  0.00000E+00  0.41224E+01  0.00000E+00  0.00000E+00
   10.5890   3.3800  21.0000  0.41011E+01  0.41011E+01  0.00000E+00  0.00000E+00  0.41011E+01  0.00000E+00  0.00000E+00
   10.5890   3.3900  21.0000  0.40798E+01  0.40798E+01  0.00000E+00  0.00000E+00  0.40798E+01  0.00000E+00  0.00000E+00
   10.5890   3.4000  21.0000  0.40586E+01  0.40586E+01  0.00000E+00  0.00000E+00  0.40586E+01  0.00000E+00  0.00000E+00
   10.5890   3.4100  21.0000  0.40373E+01  0.40373E+01  0.00000E+00  0.00000E+00  0.40373E+01  0.00000E+00  0.00000E+00
   10.5890   3.4200  21.0000  0.40161E+01  0.40161E+01  0.00000E+00  0.00000E+00  0.40161E+01  0.00000E+00  0.00000E+00
   10.5890   3.4300  21.0000  0.39950E+01  0.39950E+01  0.00000E+00  0.00000E+00  0.39950E+01  0.00000E+00  0.00000E+00
   10.5890   3.4400  21.0000  0.39739E+01  0.39739E+01  0.00000E+00  0.00000E+00  0.39739E+01  0.00000E+00  0.00000E+00
   10.5890   3.4500  21.0000  0.39528E+01  0.39528E+01  0.00000E+00  0.00000E+00  0.39528E+01  0.00000E+00  0.00000E+00
   10.5890   3.4600  21.0000  0.39317E+01  0.39317E+01  0.00000E+00  0.00000E+00  0.39317E+01  0.00000E+00  0.00000E+00
   10.5890   3.4700  21.0000  0.39107E+01  0.39107E+01  0.00000E+00  0.00000E+00  0.39107E+01  0.00000E+00  0.00000E+00
   10.5890   3.4800  21.0000  0.38896E+01  0.38896E+01  0.00000E+00  0.00000E+00  0.38896E+01  0.00000E+00  0.00000E+00
   10.5890   3.4900  21.0000  0.38685E+01  0.38685E+01  0.00000E+00  0.00000E+00  0.38685E+01  0.00000E+00  0.00000E+00
   10.5890   3.5000  21.0000  0.38475E+01  0.38475E+01  0.00000E+00  0.00000E+00  0.38475E+01  0.00000E+00  0.00000E+00
   10.5890   3.5100  21.0000  0.38264E+01  0.38264E+01  0.00000E+00  0.00000E+00  0.38264E+01  0.00000E+00  0.00000E+00
   10.5890   3.5200  21.0000  0.38054E+01  0.38054E+01  0.00000E+00  0.00000E+00  0.38054E+01  0.00000E+00  0.00000E+00
   10.5890   3.5300  21.0000  0.37843E+01  0.37843E+01  0.00000E+00  0.00000E+00  0.37843E+01  0.00000E+00  0.00000E+00
   10.5890   3.5400  21.0000  0.37631E+01  0.37631E+01  0.00000E+00  0.00000E+00  0.37631E+01  0.00000E+00  0.00000E+00
   10.5890   3.5500  21.0000  0.37419E+01  0.37419E+01  0.00000E+00  0.00000E+00  0.37419E+01  0.00000E+00  0.00000E+00
